km_driven,mileage,engine,max_power,age,make,Individual,Vehical_type,fuel_type,seat
58000,24.7,1047.0,69.0,6.0,TATA,0,1,1,5
170000,12.05,2179.0,120.0,11.0,MAHINDRA,1,1,1,7
15000,22.0,1197.0,81.8,5.0,MARUTI,1,1,4,5
71245,28.4,1248.0,74.0,7.0,MARUTI,0,1,1,5
20000,21.12,1248.0,88.8,11.0,TATA,1,1,1,5
52000,16.78,1496.0,88.73,7.0,TOYOTA,0,1,4,5
61000,19.4,1198.0,86.8,8.0,HONDA,1,1,4,5
7000,16.1,1353.0,138.0,4.0,KIA,1,1,4,5
20000,23.95,998.0,67.05,5.0,MARUTI,1,1,4,5
8700,21.63,998.0,67.04,3.0,MARUTI,1,1,4,5
25000,24.7,796.0,47.3,4.0,MARUTI,1,1,4,5
42000,18.6,1197.0,81.86,8.0,HYUNDAI,0,1,4,5
120000,14.0,2498.0,112.0,14.0,MAHINDRA,1,1,1,7
60000,14.4,1399.0,94.0,14.0,CHEVROLET,1,1,4,5
120000,13.6,2523.0,63.0,17.0,MAHINDRA,1,1,1,7
50000,21.4,1197.0,83.1,5.0,MARUTI,1,1,4,5
58000,18.9,998.0,67.1,12.0,MARUTI,1,1,4,5
36000,17.43,1396.0,105.5,6.0,HYUNDAI,1,1,4,5
80000,23.65,1248.0,88.5,7.0,MARUTI,1,1,1,5
71000,15.73,1968.0,174.33,10.0,AUDI,0,0,1,5
30000,25.47,1248.0,88.5,5.0,MARUTI,1,1,1,7
162828,22.77,1498.0,98.59,8.0,FORD,0,1,1,5
7500,23.0,1498.0,98.96,5.0,FORD,1,1,1,5
47227,14.0,2179.0,138.1,7.0,TATA,0,1,1,7
52000,33.54,998.0,67.04,5.0,MARUTI,0,1,4,5
74000,20.0,1399.0,68.05,11.0,FORD,0,1,1,5
47000,15.96,2523.0,62.1,12.0,MAHINDRA,0,1,1,7
50000,18.6,1197.0,81.83,8.0,HYUNDAI,1,1,4,5
100000,21.4,1197.0,83.1,6.0,MARUTI,1,1,4,5
35000,23.1,998.0,67.04,9.0,MARUTI,1,1,4,5
50000,21.19,1396.0,88.73,7.0,HYUNDAI,1,1,1,5
10000,18.16,1196.0,86.8,5.0,FORD,1,1,4,5
10370,22.74,796.0,47.3,7.0,MARUTI,1,1,4,5
62000,16.8,1497.0,116.3,10.0,HONDA,0,1,4,5
70000,21.12,1248.0,88.8,12.0,TATA,1,1,1,5
